"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade","combo","number_individuals_requested"
"387","TU","Fish",41867,66,"Notropis atherinoides","Cyprinidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River 0.5 mi. below Richardson Landing; 1.5 mi. SE of Bogalusa - Fish Stat. #3.",NA,NA,1966,10,17,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973","impact_1964-1973",4
"4161","TU","Fish",49057,44,"Notropis atherinoides","Cyprinidae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa.",NA,NA,1967,12,7,"R.D. Suttkus , Laska & Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1964-1973","impact_1964-1973",4
"704","TU","Fish",132490,12,"Notropis atherinoides","Cyprinidae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pools Bluff Sill.",NA,NA,1983,10,6,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983","impact_1974-1983",4
"644","TU","Fish",118284,53,"Notropis atherinoides","Cyprinidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing, 1.5 miles SE of Bogalusa.",NA,NA,1980,10,23,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983","impact_1974-1983",4
"579","TU","Fish",104231,27,"Notropis atherinoides","Cyprinidae",NA,NA,30.75361,-89.82639,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank 0.8 mi. below Richardson Landing.",NA,NA,1977,10,19,"R.D. Suttkus & P. Sorensen",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983","impact_1974-1983",4
"669","TU","Fish",123317,9,"Notropis atherinoides","Cyprinidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing 1.5 mi. SE of Bogalusa.",NA,NA,1981,10,22,"R.D. Suttkus & S.O. Rohmann",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983","impact_1974-1983",4
"665","TU","Fish",122147,108,"Notropis atherinoides","Cyprinidae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along left bank just below Pools Bluff Sill; 4 mi. S of Bogalusa.",NA,NA,1981,7,8,"R.D. Suttkus & S.O. Rohmann",NA,NA,"PreservedSpecimen","",NA,"impact","1974-1983","impact_1974-1983",4
"744","TU","Fish",140330,18,"Notropis atherinoides","Cyprinidae",NA,NA,30.74055,-89.82694,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at River Mile 54.",NA,NA,1985,4,25,"R.D. Suttkus & K.G. Goodfellow",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993","impact_1984-1993",4
"36","TU","Fish",158597,20,"Notropis atherinoides","Cyprinidae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pools Bluff Sill.",NA,NA,1990,7,6,"R.D. Suttkus & J.H. Caruso",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993","impact_1984-1993",4
"991","TU","Fish",167786,8,"Notropis atherinoides","Cyprinidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Pearl River",NA,NA,"Pearl River along right bank 0.5 mile below Richardson Landing",NA,NA,1993,10,23,"R.D. Suttkus & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993","impact_1984-1993",4
"58","TU","Fish",161628,75,"Notropis atherinoides","Cyprinidae",NA,NA,30.75667,-89.82611,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank 0.5 mi. below Richardson Landing.",NA,NA,1991,10,26,"R.D. Suttkus & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993","impact_1984-1993",4
"726","TU","Fish",136251,127,"Notropis atherinoides","Cyprinidae",NA,NA,30.705,-89.84611,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just above Pools Bluff Sill.",NA,NA,1984,7,17,"R.D. Suttkus & V.C. Trau",NA,NA,"PreservedSpecimen","",NA,"impact","1984-1993","impact_1984-1993",4
"296","TU","Fish",193014,18,"Notropis atherinoides","Cyprinidae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pool Bluff Sill.",NA,NA,2001,7,21,"",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003","impact_1994-2003",4
"195","TU","Fish",184769,18,"Notropis atherinoides","Cyprinidae",NA,NA,30.75444,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at second bend below Richardson Landing.",NA,NA,1997,10,12,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003","impact_1994-2003",4
"8441","TU","Fish",194447,41,"Notropis atherinoides","Cyprinidae",NA,NA,30.75444,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at 2nd bend below Richardson Ldg.",NA,NA,2002,7,13,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003","impact_1994-2003",4
"201","TU","Fish",185379,32,"Notropis atherinoides","Cyprinidae",NA,NA,30.75444,-89.82722,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank at second bend below Richardson Ldg.",NA,NA,1998,1,24,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003","impact_1994-2003",4
"289","TU","Fish",192778,32,"Notropis atherinoides","Cyprinidae",NA,NA,30.70222,-89.84417,NA,NA,"United States of America","Mississippi","Pearl River",NA,NA,"Pearl River along left bank just below Pool Bluff Sill.",NA,NA,2001,4,28,"",NA,NA,"PreservedSpecimen","",NA,"impact","1994-2003","impact_1994-2003",4
"884","TU","Fish",197262,13,"Notropis atherinoides","Cyprinidae",NA,NA,30.74195,-89.82528,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River along right bank at second bend above River Mile 54.",NA,NA,2004,7,17,"R.D. & J.S. Suttkus",NA,NA,"PreservedSpecimen","",NA,"impact","2004-2013","impact_2004-2013",4
