"","InstitutionCode","CollectionCode","CatalogNumber","IndividualCount","ScientificName","Family","PreparationType","Tissues","Latitude","Longitude","CoordinateUncertaintyInMeters","HorizontalDatum","Country","StateProvince","County","Island","IslandGroup","Locality","VerbatimElevation","VerbatimDepth","YearCollected","MonthCollected","DayCollected","Collector","GeorefMethod","LatLongComments","BasisOfRecord","Remarks","DateLastModified","CI","decade"
"2412","TU","Fish",57361,17,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek; 1.5 mi. E of Bogalusa - Fish Stat. #1.",NA,NA,1969,5,9,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2422","TU","Fish",57368,23,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1969,5,9,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"246","TU","Fish",58050,5,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.5 mi. E of Bogalusa.",NA,NA,1969,7,14,"R.D. Suttkus & Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2472","TU","Fish",58061,37,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1969,7,14,"R.D. Suttkus & Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2522","TU","Fish",59446,10,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1969,10,28,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2581","TU","Fish",62094,69,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek; 1.5 mi. E of Bogalusa - Fish Stat. #1.",NA,NA,1970,4,21,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2591","TU","Fish",62114,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1970,4,21,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2643","TU","Fish",64862,24,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek.",NA,NA,1970,10,27,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"265","TU","Fish",64870,8,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at sandbar, just below mouth of Coburn Creek.",NA,NA,1970,10,27,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2711","TU","Fish",68158,10,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77472,-89.82806,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just below Coburn Creek, 1.5 mi. E of Bogalusa - Fish Stat. #1.",NA,NA,1971,1,25,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"272","TU","Fish",68187,9,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1971,1,25,"R.D. Suttkus & G.E. Gunning",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2771","TU","Fish",68701,5,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek, 1.5 mi. E of Bogalusa; Fish Stat. #1.",NA,NA,1971,4,20,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"278","TU","Fish",68672,4,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.",NA,NA,1971,4,20,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2821","TU","Fish",70500,18,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above mouth of Coburn Creek - Fish Stat. #1.",NA,NA,1971,7,15,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"283","TU","Fish",70600,44,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River at sandbar below mouth of Coburn Creek - Fish Stat. #2.",NA,NA,1971,7,15,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2881","TU","Fish",72355,8,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just above Coburn Creek; 1.5 mi. E of Bogalusa - Stat. #1.",NA,NA,1971,10,26,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2891","TU","Fish",72375,14,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa.",NA,NA,1971,10,26,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"2971","TU","Fish",76701,10,"Ictalurus punctatus","Ictaluridae",NA,NA,30.76805,-89.83083,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River between Coburn & Bogalusa Creeks, 1.5 mi. E of Bogalusa.",NA,NA,1972,4,18,"R.D. Suttkus & Cashner",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"3001","TU","Fish",81601,6,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77472,-89.82806,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River just below mouth of Coburn Creek - Fish Stat. #2.",NA,NA,1973,1,23,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
"3021","TU","Fish",83731,10,"Ictalurus punctatus","Ictaluridae",NA,NA,30.77861,-89.82972,NA,NA,"United States of America","Louisiana","Washington",NA,NA,"Pearl River below mouth of Coburn Creek.",NA,NA,1973,7,11,"R.D. Suttkus & B.A. Thompson",NA,NA,"PreservedSpecimen","",NA,"control","1964-1973"
