InstitutionCode,CollectionCode,CatalogNumber,IndividualCount,ScientificName,Family,PreparationType,Tissues,Latitude,Longitude,CoordinateUncertaintyInMeters,HorizontalDatum,Country,StateProvince,County,Island,IslandGroup,Locality,VerbatimElevation,VerbatimDepth,YearCollected,MonthCollected,DayCollected,Collector,GeorefMethod,LatLongComments,BasisOfRecord,Remarks,DateLastModified
TU,Fish,79488,1,Ictalurus punctatus,Ictaluridae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79487,11,Pimephales vigilax perspicuus,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79478,3,Hybognathus nuchalis,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79477,16,Carpiodes velifer,Catostomidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River just above mouth of Coburn Creek - Fish Stat. #1.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79499,3,Hybognathus nuchalis,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79503,149,Notropis atherinoides,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79511,23,Lepomis megalotis,Centrarchidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79510,34,Ictalurus punctatus,Ictaluridae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79509,4,Pimephales vigilax,Cyprinidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79517,1,Percina vigil,Percidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79496,4,Carpiodes velifer,Catostomidae,,,30.77861,-89.82972,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar just below mouth of Coburn Creek.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79533,99,Notropis atherinoides,Cyprinidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar 0.5 mi. below Richardson Landing.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
TU,Fish,79537,37,Pimephales vigilax perspicuus,Cyprinidae,,,30.75667,-89.82611,,,United States of America,Louisiana,Washington,,,Pearl River at sandbar 0.5 mi. below Richardson Landing.,,,1972,7,12,B.A. Thompson & Cashner,,,PreservedSpecimen,,
