Fish species,Catalog Number,Collection date,Site,Latitude,Longitude,n fish
Notropis atherinoides,140276,4/25/85,control,30.7825,-89.82027,4
Notropis atherinoides,140287,4/25/85,control,30.77583,-89.82722,4
Notropis atherinoides,147886,1/22/87,impact,30.70222,-89.84417,4
Notropis atherinoides,156711,10/12/89,impact,30.70222,-89.84417,4
Notropis atherinoides,162851,4/24/92,control,30.7825,-89.82027,3
Notropis atherinoides,174635,4/29/95,impact,30.76222,-89.83111,4
Notropis atherinoides,176959,10/7/95,impact,30.70222,-89.84417,4
Notropis atherinoides,177808,1/13/93,control,30.77611,-89.82722,4
Notropis atherinoides,180744,7/20/66,control,30.77611,-89.82722,1
Notropis atherinoides,180744,7/20/96,control,30.77611,-89.82722,3
Notropis atherinoides,184734,10/12/97,control,30.7825,-89.82027,4
Notropis atherinoides,186190,7/18/98,control,30.7825,-89.82027,4
Notropis atherinoides,189551,10/9/99,impact,30.70389,-89.84472,4
Notropis atherinoides,190342,1/8/00,impact,30.70222,-89.84417,4
Notropis atherinoides,192424,1/13/01,impact,30.70222,-89.84417,4
Notropis atherinoides,192778,4/28/01,impact,30.70222,-89.84417,4
Notropis atherinoides,196451,10/11/03,control,30.77583,-89.82722,4
Notropis atherinoides,197192,7/17/04,control,30.7825,-89.82027,4
Notropis atherinoides,197245,7/17/04,impact,30.75444,-89.82722,4
Notropis atherinoides,197703,10/20/04,control,30.7825,-89.82027,1
Notropis atherinoides,197703,10/30/04,control,30.7825,-89.82027,3
Notropis atherinoides,197744,10/30/04,impact,30.74055,-89.82694,4
Notropis atherinoides,198590,7/15/05,impact,30.75444,-89.82722,4
Notropis atherinoides,198603,7/15/05,impact,30.74195,-89.82528,4
Notropis atherinoides,198613,7/15/05,impact,30.74055,-89.82694,4
Pimephales vigilax,30602,10/24/63,control,30.77861,-89.82972,4
Pimephales vigilax,30957,11/21/63,control,30.77861,-89.82972,4
Pimephales vigilax,31254,7/11/63,control,30.77861,-89.82972,4
Pimephales vigilax,37344,3/18/65,impact,30.70222,-89.84417,4
Pimephales vigilax,39293,11/19/65,control,30.77861,-89.82972,4
Pimephales vigilax,40619,4/22/66,control,30.77861,-89.82972,4
Pimephales vigilax,53048,7/18/68,control,30.77861,-89.82972,4
Pimephales vigilax,62155,4/27/70,impact,30.705,-89.84611,4
Pimephales vigilax,68175,1/25/71,impact,30.74055,-89.82694,2
Pimephales vigilax,68175,7/25/71,impact,30.74055,-89.82694,1
Pimephales vigilax,68175,9/25/71,impact,30.74055,-89.82694,1
Pimephales vigilax,70599,7/15/71,control,30.77861,-89.82972,4
Pimephales vigilax,81611,1/23/73,impact,30.74055,-89.82694,4
Pimephales vigilax,81715,4/17/73,impact,30.70222,-89.84417,4
Pimephales vigilax,83913,10/16/73,control,30.77861,-89.82972,4
Pimephales vigilax,93674,2/28/75,impact,30.70222,-89.84417,4
Pimephales vigilax,101642,4/13/77,impact,30.70222,-89.84417,4
Pimephales vigilax,104703,11/4/77,impact,30.705,-89.84611,4
Pimephales vigilax,106298,3/23/78,control,30.77861,-89.82972,4
Pimephales vigilax,108550,7/19/78,impact,30.70222,-89.84417,4
Pimephales vigilax,109949,10/25/73,impact,30.705,-89.84611,2
Pimephales vigilax,109949,10/25/78,impact,30.705,-89.84611,2
Pimephales vigilax,111516,1/31/79,control,30.77861,-89.82972,4
Pimephales vigilax,115164,10/25/79,impact,30.705,-89.84611,4
Pimephales vigilax,116271,1/30/80,control,30.77861,-89.82972,4
Pimephales vigilax,120278,1/22/81,impact,30.70222,-89.84417,4
Pimephales vigilax,128696,1/27/83,control,30.7825,-89.82027,4
Pimephales vigilax,138233,10/19/84,impact,30.74055,-89.82694,4
Pimephales vigilax,140323,4/25/85,impact,30.75667,-89.82611,4
Pimephales vigilax,140348,4/25/85,impact,30.705,-89.84611,1
Pimephales vigilax,150524,10/29/87,impact,30.705,-89.84611,4
Pimephales vigilax,159201,10/19/90,impact,30.70222,-89.84417,3
Pimephales vigilax,159201,10/19/94,impact,30.70222,-89.84417,1
Pimephales vigilax,159966,1/3/91,control,30.77583,-89.82722,4
Pimephales vigilax,160032,1/3/91,impact,30.70222,-89.84417,4
Pimephales vigilax,160352,4/26/96,impact,30.70222,-89.84417,4
Pimephales vigilax,162883,4/24/92,control,30.76528,-89.83222,4
Pimephales vigilax,167348,7/2/93,control,30.7825,-89.82027,4
Pimephales vigilax,169485,1/15/94,impact,30.75667,-89.82611,4
Pimephales vigilax,169529,1/15/94,impact,30.70222,-89.84417,4
Pimephales vigilax,169820,4/9/94,impact,30.70222,-89.84417,4
Pimephales vigilax,172508,1/14/95,control,30.7825,-89.82027,4
Pimephales vigilax,177852,1/13/96,impact,30.73694,-89.82694,4
Pimephales vigilax,178363,4/6/96,control,30.77611,-89.82722,4
Pimephales vigilax,182098,1/4/97,control,30.77611,-89.82777,4
Pimephales vigilax,182476,4/13/97,control,30.77611,-89.82777,4
Pimephales vigilax,184043,6/28/97,control,30.7825,-89.82027,4
Pimephales vigilax,187125,1/16/99,impact,30.75444,-89.82722,4
Pimephales vigilax,187137,1/16/99,impact,30.74195,-89.82528,4
Pimephales vigilax,190278,1/8/00,control,30.77611,-89.82777,4
Pimephales vigilax,197196,7/17/04,control,30.7825,-89.82027,4
Pimephales vigilax,197731,10/30/04,impact,30.75444,-89.82722,4
Pimephales vigilax,198296,2/12/05,impact,30.74055,-89.82694,4
