"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"55",115117,1979,10,"24","115117_02","SC JT GMC","07/26/2024",NA,39,34,345,"control","control_1974-1983",30.78,-89.82472,"ACANTH.BB",0
"56",115117,1979,10,"24","115117_01","JT CJW","07/26/2024",NA,35,28,252,"control","control_1974-1983",30.78,-89.82472,"ACANTH.BB",0
"57",115131,1979,10,"24","115131_01","djb gmc","07/25/2024","na",47,39,608,"control","control_1974-1983",30.77861,-89.82972,"ACANTH.BB",0
"58",115131,1979,10,"24","115131_02","JT DMDM","07/25/2024","F",42,34,452,"control","control_1974-1983",30.77861,-89.82972,"ACANTH.BB",0
"59",115152,1979,10,"24","115152_02","JT IJ GMC","07/26/2024",NA,33,28,208,"control","control_1974-1983",30.76805,-89.83083,"ACANTH.BB",0
"60",115152,1979,10,"24","115152_04","DJB DMDM GMC","07/26/2024",NA,39,33,358,"control","control_1974-1983",30.76805,-89.83083,"ACANTH.BB",0
"61",115152,1979,10,"24","115152_01","SC CLW","07/26/2024","F",38,33,318,"control","control_1974-1983",30.76805,-89.83083,"ACANTH.BB",0
"62",115152,1979,10,"24","115152_03","IJ","07/26/2024","na",40,33,NA,"control","control_1974-1983",30.76805,-89.83083,"ACANTH.BB",0
"63",115239,1979,10,"25","115239_01","DJB GMC","07/25/2024",NA,50,40,848,"impact","impact_1974-1983",30.70222,-89.84417,"ACANTH.BB",0
"64",115239,1979,10,"25","115239_02","JT DMDM","07/25/2024",NA,43,28,649,"impact","impact_1974-1983",30.70222,-89.84417,"ACANTH.BB",0
"65",124580,1982,2,"19","124580_01","IJ DJB","07/26/2024","F",48,41,839,"impact","impact_1974-1983",30.70222,-89.84417,"ACANTH.BB",0
"66",124580,1982,2,"19","124580_02","JT KL","07/26/2024","M",53,42,953,"impact","impact_1974-1983",30.70222,-89.84417,"ACANTH.BB",0
"67",143904,1986,1,"30","143904_02","DJB CJW","07/25/2024",NA,50,41,794,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"68",143904,1986,1,"30","143904_01","JT CJW","07/25/2024",NA,47,38,676,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"69",147874,1987,1,"22","147874_02","KL CJW","07/25/2024","F",52,44,962,"impact","impact_1984-1993",30.74055,-89.82694,"ACANTH.BB",0
"70",147874,1987,1,"22","147874_01","KL GMC CJW","07/25/2024",NA,53,46,974,"impact","impact_1984-1993",30.74055,-89.82694,"ACANTH.BB",0
"71",156724,1989,10,"12","156724_01","JT IJ CJW","07/25/2024",NA,51,42,890,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",1
"72",156724,1989,7,"25","156724_02","JT CJW","07/25/2024",NA,47,39,718,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"73",160042,1991,1,"3","160042_02","sde acl","04/30/2024","f",51,43,NA,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"74",160042,1991,1,"3","160042_01","sd acl","04/30/2024","na",55,44,NA,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"75",162131,1992,1,"2","162131_02","SC CJW","07/26/2024",NA,48,40,820,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"76",162131,1992,1,"2","162131_01","DJB IJ DMDM","07/26/2024","F",47,41,983,"impact","impact_1984-1993",30.70222,-89.84417,"ACANTH.BB",0
"77",171909,1994,10,"15","171909_02","SC GMC","07/25/2024",NA,48,39,702,"impact","impact_1994-2003",30.70222,-89.84417,"ACANTH.BB",0
"78",171909,1994,10,"15","171909_01","JT CJW","07/25/2024",NA,45,36,541,"impact","impact_1994-2003",30.70222,-89.84417,"ACANTH.BB",0
"79",177879,1996,1,"13","177879_02","JT GMC","07/26/2024",NA,42,35,479,"impact","impact_1994-2003",30.70389,-89.84472,"ACANTH.BB",0
"80",177879,1996,1,"13","177879_01","SC IJ CJW","07/26/2024","F",45,39,744,"impact","impact_1994-2003",30.70389,-89.84472,"ACANTH.BB",0
"81",184060,1997,6,"28","184060_04","cjw","07/26/2024","na",30,23,162,"control","control_1994-2003",30.77611,-89.82889,"ACANTH.BB",0
