"","fish_psite_combo","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp.x","psite_count","scaled_TL_mm","Fish_sp.x","psite_spp.y","Fish_sp.y","Life_History","Parasite_taxonomic_group"
"45","Ictalurus punctatus_ACAN.OSTR","105376","1977",12,"19","105376_02","JT CJW","6/26/2024",NA,61,41.5,"1562","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,-0.753111143256813,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"46","Ictalurus punctatus_ACAN.OSTR","108482","1978",7,"19","108482_01","DJB GMC","6/26/2024",NA,49,42,"1263","control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",0,-1.23359065400847,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"47","Ictalurus punctatus_ACAN.OSTR","108482","1978",7,"19","108482_02","SC DJB KL","6/26/2024",NA,48,37,"694","control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",0,-1.27363061323778,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"48","Ictalurus punctatus_ACAN.OSTR","108500","1978",7,"19","108500_01","SC DJB CJW","6/25/2024",NA,31,26,"220","impact","impact_1974-1983","30.75667","-89.82611","ACAN.OSTR",0,-1.95430992013596,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"49","Ictalurus punctatus_ACAN.OSTR","108500","1978",7,"19","108500_02","IJ BJB DMDM","6/25/2024",NA,54,38,"1028","impact","impact_1974-1983","30.75667","-89.82611","ACAN.OSTR",0,-1.03339085786195,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"50","Ictalurus punctatus_ACAN.OSTR","108551","1978",7,"19","108551_02","SC DJB KL","6/26/2024",NA,77,61,"2788","impact","impact_1974-1983","30.70222","-89.84417","ACAN.OSTR",0,-0.112471795587935,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"51","Ictalurus punctatus_ACAN.OSTR","108551","1978",7,"19","108551_01","DJB DJB/CJW","6/27/2024",NA,78,58,"2974","impact","impact_1974-1983","30.70222","-89.84417","ACAN.OSTR",1,-0.07243183635863,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"52","Ictalurus punctatus_ACAN.OSTR","109076","1978",8,"29","109076_02","DJB CJW","6/27/2024",NA,61,46,"1328","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,-0.753111143256813,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"53","Ictalurus punctatus_ACAN.OSTR","109076","1978",8,"29","109076_01","SC DJB CJW","6/27/2024",NA,67,50,"2038","control","control_1974-1983","30.77861","-89.82972","ACAN.OSTR",0,-0.512871387880984,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
"54","Ictalurus punctatus_ACAN.OSTR","115142","1979",10,"24",",115142_01","IJ DHB.SC ","6/27/2024",NA,81,60,"3727","control","control_1974-1983","30.76805","-89.83083","ACAN.OSTR",6,0.0476880413292846,"Ictalurus punctatus","ACAN.OSTR","Ictalurus punctatus","Complex","Acanthocephala"
