"","CatalogNumber","YearCollected","MonthCollected","DayCollected","IndividualFishID","Dissector_and_Examiner","DissectionDate","Sex","TotalLength_mm","StandardLength_mm","Weight_mg","CI","combo","Latitude","Longitude","psite_spp","psite_count"
"101","118314",1980,10,23,"118314_04","ij jt kl","07/16/2024","m",70,58,"2820","impact","impact_1974-1983","30.70222","-89.84417","ACAN.AD",0
"102","118314",1980,10,23,"118314_01","sc djb cjw","07/16/2024","na",72,58,"2902","impact","impact_1974-1983","30.70222","-89.84417","ACAN.AD",0
"103","118314",1980,10,23,"118314_03","djb kl ","07/16/2024","f",101,84,"8098","impact","impact_1974-1983","30.70222","-89.84417","ACAN.AD",0
"104","132494",1983,10,6,"132494_02","DJB CJW","07/08/24",NA,61,48,"2036","impact","impact_1974-1983","30.74055","-89.82694","ACAN.AD",0
"105","132494",1983,10,6,"132494_04","SC DJB GMC","07/09/2024",NA,51,41,"1163","impact","impact_1974-1983","30.74055","-89.82694","ACAN.AD",0
"106","132494",1983,10,6,"132494_01","DJB CJW","07/08/24",NA,52,40,"1389","impact","impact_1974-1983","30.74055","-89.82694","ACAN.AD",0
"107","132494",1983,10,6,"132494_03","DJB GMC","07/09/2024",NA,51,40,"1072","impact","impact_1974-1983","30.74055","-89.82694","ACAN.AD",0
"108","134732",1984,4,20,"134732_01","ij dmdm","07/19/2024",NA,61,49,"1623","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"109","134732",1984,4,20,"134732_02","clw","07/19/2024",NA,59,42,"1499","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"110","134732",1984,4,20,"134732_03","dbj gmc","07/19/2024",NA,60,46,"1530","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"111","134732",1984,4,20,"134732_04","sc kl","07/22/2024",NA,61,46,"1703","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"112","136233",1984,7,17,"136233_01","SC KL","07/15/2024",NA,81,62,"4202","impact","impact_1984-1993","30.74055","-89.82694","ACAN.AD",0
"113","136233",1984,7,17,"136233_04","DJB GMC KL","07/15/2024","na",84,68,"3989","impact","impact_1984-1993","30.74055","-89.82694","ACAN.AD",0
"114","136233",1984,7,17,"136233_02","jt dmdm","07/15/2024","f",76,60,"3340","impact","impact_1984-1993","30.74055","-89.82694","ACAN.AD",0
"115","136233",1984,7,17,"136233_03","ij sc dmdm","07/15/2024","na",79,69,"na","impact","impact_1984-1993","30.74055","-89.82694","ACAN.AD",0
"116","146778",1986,10,9,"146778_02","DJB DMDM","07/17/2024","F",71,54,"2759","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"117","146778",1986,10,9,"146778_04","SC IJ JT CLW","07/17/2024",NA,73,60,"3236","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"118","146778",1986,10,9,"146778_01","JT IJ GMC","07/17/2024","na",70,53,"2710","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"119","146778",1986,10,9,"146778_03","DJB GMC","07/17/2024","na",91,73,"5703","impact","impact_1984-1993","30.70222","-89.84417","ACAN.AD",0
"120","149280",1987,14,1987,"149280_02","CLW CJW","07/11/2024","na",49,41,"964","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"121","149280",1987,14,1987,"149280_03","CLW ","07/11/2024","na",52,42,"1134","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"122","149280",1987,14,1987,"149280_04","CLW/DMDM","07/11/2024","na",48,38,"907","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"123","149280",1987,14,1987,"149280_01","CLW GMC","07/11/2024","na",47,37,"841","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"124","151705",1988,4,14,"151705_02","IJ KL","07/16/2024",NA,76,55,"2766","impact","impact_1984-1993","30.75417","-89.82694","ACAN.AD",0
"125","151705",1988,4,14,"151705_04","jt djb dmdm gmc","07/16/2024","na",65,48,"1688","impact","impact_1984-1993","30.75417","-89.82694","ACAN.AD",0
"126","151705",1988,4,14,"151705_01","sc djb gmc","07/16/2024","na",74,60,"2904","impact","impact_1984-1993","30.75417","-89.82694","ACAN.AD",0
"127","151705",1988,4,14,"151705_03","sc dmdm djb","07/16/2024","na",64,52,"1924","impact","impact_1984-1993","30.75417","-89.82694","ACAN.AD",0
"128","156651",1989,10,12,"156651_01","jt sc dmdm","07/22/2024","na",63,47,"1862","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"129","156651",1989,10,12,"156651_03","jt sc kl","07/22/2024","na",67,51,"1998","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"130","156651",1989,10,12,"156651_04","djb sc gmc","07/22/2024","na",60,48,"1838","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"131","156651",1989,10,12,"156651_02","sc gmc","07/22/2024",NA,64,52,"1784","control","control_1984-1993","30.77583","-89.82722","ACAN.AD",0
"132","156660",1989,10,12,"156660_03","JT DJB/CJW","07/09/2024",NA,60,47,"1810","impact","impact_1984-1993","30.76528","-89.83222","ACAN.AD",0
"133","156660",1989,10,12,"156660_04","IJ SC/DMDM","07/09/2024",NA,55,44,"1226","impact","impact_1984-1993","30.76528","-89.83222","ACAN.AD",0
"134","156660",1989,10,12,"156660_02","JT SC DMDM","07/09/2024","F",48,37,"728","impact","impact_1984-1993","30.76528","-89.83222","ACAN.AD",0
"135","156672",1989,10,12,"156672_04","DJB KL","07/09/2024",NA,55,44,"1271","impact","impact_1984-1993","30.75667","-89.82611","ACAN.AD",0
"136","156672",1989,10,12,"156672_01","DJB DMDM","07/09/2024",NA,58,44,"1528","impact","impact_1984-1993","30.75667","-89.82611","ACAN.AD",0
